1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,f3,1,0,0,0,0,1,0,0,1,0,1,0,s,1
1,e3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,f2,1,0,0,1
1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,e2,0,1,0,1,0,1,1
1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
1,0,1,0,1,0,0,1,1,f1,0,0,0,0,0,0,0,0,0,e1,1,1,1,1
1,e4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,1,1,1,1,1,0,f4,1,0,0,1,0,1,0,0,1,0,0,0,1,1
1,f5,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,e5,1,0,0,0,0,0,0,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,f6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,e7,1
1,0,0,0,0,0,0,0,1,f7,0,1,1,1,0,1,1,1,0,0,0,0,0,1
1,e6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
1,0,1,0,0,1,1,1,1,f9,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,e9,1
1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,f10,1,0,0,0,1
1,e8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0,0,0,0,f8,1,e10,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
